498,18007
34,7032
20,5665
605,19208
629,19298
427,17600
130,11272
408,17371
583,18934
394,2085
34,6332
151,1575
356,16398
858,21360
34,6618
34,7194
68,9328
954,21880
34,7060
194,13139
848,21217
498,18073
149,11942
34,7205
394,2028
799,20670
471,20507
583,4065
593,2496
595,13577
549,3269
58,8900
163,12266
884,5092
394,2060
394,1269
68,9375
143,11819
34,2192
20,5636
799,20663
66,9177
835,21123
985,8700
324,14271
498,18191
403,17198
602,19118
225,14709
705,5155
510,7687
377,4332
34,7363
175,12544
400,790
790,400
34,7185
638,19436
557,18719
565,18833
318,15886
99,10341
331,15975
930,21702
809,20745
165,12273
716,5906
468,10202
281,11684
394,1288
34,6549
22,5761
115,10789
900,21593
595,6963
104,10529
546,46519
49,8336
46,7813
516,18331
809,20723
354,16308
15,2724
733,20102
281,15449
58,8793
695,19740
166,12296
13,332
332,13
938,1947
796,12411
631,19382
225,14176
678,12160
945,21811
74,9500
656,18982
99,10319
62,9081
34,7019
988,22054
22,4366
34,5576
748,12703
910,34
34,910
725,20021
886,21556
173,12487
175,12585
850,21281
149,11946
394,1441
185,12857
149,11920
102,10391
835,11236
377,4200
48,8226
140,11562
804,9059
624,19252
85,9821
225,14311
34,6494
919,1933
947,21820
220,2851
377,3295
351,2813
211,13543
377,4590
192,13085
954,15799
858,21338
113,10729
990,7528
397,17020
647,19476
227,14744
40,7592
663,16493
225,14531
34,6535
793,20518
514,18320
677,19662
62,2103
225,13995
190,12984
941,21775
59,8982
379,13899
377,3668
804,8274
225,14402
394,1065
86,9921
263,3615
377,3586
34,6547
377,2287
34,6512
175,12638
951,21843
167,12306
884,8489
356,16354
377,4062
676,19653
337,5020
175,12645
678,19704
394,2305
265,15208
225,14538
40,7561
654,394
394,654
394,1783
313,15809
119,10962
225,14098
823,225
225,823
192,13110
357,285
285,357
185,12899
46,7820
913,15707
34,7046
983,10733
377,4528
377,4394
871,21473
71,9452
381,16760
34,6340
437,9889
394,1987
85,9794
602,19138
176,12681
172,12427
53,8425
46,6979
455,17775
225,3649
85,9896
225,14137
175,12509
79,6412
144,11859
22,5857
223,13965
219,13897
80,9602
394,2152
737,20181
608,19215
34,7175
281,11960
582,394
394,582
34,7117
775,394
394,775
377,2295
858,21341
193,13134
13,5324
377,3666
408,17330
143,11810
822,20920
115,10877
272,15308
377,4164
493,394
394,493
58,8795
290,15674
516,15322
377,3198
15,1642
217,13849
68,9379
389,16897
122,10105
225,4906
25,6007
66,9257
510,18287
918,21673
804,20702
190,12973
751,14345
143,11675
737,20158
246,2604
408,17319
225,2408
825,10574
175,12529
699,19823
903,21595
394,1339
4,4877
998,9497
128,11217
210,13522
793,11511
34,6735
662,19552
157,12105
81,9656
822,2539
377,3654
549,18655
157,42324
66,9138
192,2320
225,14419
281,14077
217,5302
225,14616
34,6554
394,1525
736,381
381,736
292,15722
225,14149
730,20080
394,1871
835,21131
92,10075
461,17796
225,14134
272,15309
20,198
198,20
855,6199
66,9174
206,13383
377,3369
988,21924
225,14405
14,5447
15,2089
47,8124
205,13266
354,16316
34,7047
561,18779
99,10305
93,10103
563,18791
595,18977
43,4675
765,20299
225,14694
566,6310
208,5000
284,15596
253,262
262,253
377,4189
47,8163
625,19262
256,216
216,256
34,7136
477,17892
225,12025
878,225
225,878
225,2316
377,3238
498,18011
377,4045
394,1774
397,16947
377,3214
225,14002
654,19494
143,11825
281,15429
938,21750
793,20505
337,16045
442,17713
12,5276
225,2575
765,7654
225,14534
937,18548
244,14983
125,11068
140,11570
814,6070
15,2263
796,20574
34,6781
56,8532
740,20209
6,4932
74,9529
991,22071
671,7385
34,6877
92,30278
175,12512
871,19959
179,12792
225,14243
384,216
216,384
267,15222
408,17373
135,7597
34,7219
49,701
701,49
141,6005
927,5202
403,17156
539,18525
177,12763
83,2811
377,3383
513,4065
171,12378
775,2481
991,394
394,991
629,19324
282,15476
769,20325
506,18257
377,3698
34,6605
263,15124
546,33827
107,1532
153,12051
225,14352
66,9213
46,7886
190,12991
691,19726
602,19180
114,9893
799,20644
34,6359
796,15592
602,8347
377,4446
72,400
400,72
475,17882
764,20291
171,12361
685,2806
349,16204
74,9489
171,12366
213,44556
292,15723
355,16352
632,19403
220,34606
272,2092
85,9707
244,5033
209,13497
546,45449
99,10299
394,2280
23,5987
55,8506
936,21736
398,17041
818,20879
318,15834
400,1378
366,15837
818,9218
912,4675
195,13148
143,1786
209,13512
529,18484
225,14132
104,10508
663,19575
290,15681
47,8095
774,20365
59,2622
290,15682
549,10438
796,20572
464,17824
178,12784
267,15261
438,128
128,438
408,17350
839,394
394,839
481,17951
58,8682
93,10125
828,21014
416,17537
18,5496
964,1613
34,6809
109,8614
225,14421
633,394
394,633
68,9428
34,7119
546,18629
34,7365
225,14097
452,11379
34,6369
286,15663
261,216
216,261
163,12256
516,18335
599,19074
84,2777
377,3351
629,19328
58,8835
34,16560
408,17356
772,18308
394,1057
111,6381
927,15
15,927
377,4108
99,10356
638,19432
42,7660
430,17609
34,7289
149,11497
97,10270
160,12225
58,8774
377,3669
692,394
394,692
172,12471
994,22096
377,3489
34,6545
91,10002
97,10261
14,5416
750,11820
863,21380
244,12105
377,3276
225,14670
399,1214
858,21355
818,3788
34,7283
394,2323
85,9732
267,15221
377,4302
269,44524
102,10382
283,5759
48,8280
783,20456
396,11677
361,6089
397,16960
34,6387
53,8440
34,6295
782,6339
475,17884
788,2057
386,16894
897,21587
377,4299
762,20288
34,7093
98,10293
225,2052
34,7017
205,13303
498,10098
955,1510
408,17363
85,9834
376,16644
936,21732
983,22011
656,6551
377,4139
340,16141
662,19549
184,7682
34,6654
262,2943
